
Unnamed: 0,ID,Park Name,ADDRESS,City,LATITUDE,LONGITUDE,Lights,price_per_hour,created_by,created_at,image_url
0,0,GBK Tennis Center Court,"Jl. Pintu Satu Senayan, Gelora, Tanah Abang",Jakarta,-6.2189,106.8032,Yes,200000,web_add,10/22/2025,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/GBK_Madya_and_Tennis_Stadiums.jpg/1280px-GBK_Madya_and_Tennis_Stadiums.jpg
1,1,The Sultan Hotel Tennis Courts,"Jl. Gatot Subroto, Gelora",Jakarta,-6.2183,106.8097,Yes,250000,web_add,10/22/2025,https://sultanjakarta.com/wp-content/uploads/2023/10/sultan-hotel-jkt-19.jpg
2,2,GOR Soemantri Brodjonegoro (Tennis),"Jl. HR. Rasuna Said Kav. C-22, Karet Kuningan",Jakarta,-6.2192,106.8339,Yes,150000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
3,3,Cilandak Sports Center (Tennis),"Jl. TB Simatupang No.17, Cilandak Barat",Jakarta,-6.2932,106.8013,No,130000,web_add,10/22/2025,https://indonesiaexpat.id/wp-content/uploads/2023/07/Cilandak-Sports-Center.jpg
4,4,Lapangan Tenis Bulungan,"Jl. Hangtuah No.X, Kebayoran Baru",Jakarta,-6.244,106.7975,Yes,120000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
5,5,UMS 80 Tennis Courts,"Jl. Karang Asem 3, Kuningan",Jakarta,-6.2247,106.8374,Yes,140000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
6,6,Tennis & Squash Racquet Club 25,"Jl. Duren Bangka No.25, Kemang",Jakarta,-6.2632,106.8215,Yes,150000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
7,7,Taman Bona Indah Tennis Courts,"Jl. Bona Permai No.25, Lebak Bulus",Jakarta,-6.2921,106.7899,No,100000,web_add,10/22/2025,https://gelora-public-storage.s3-ap-southeast-1.amazonaws.com/upload/public-20210630082939.jpg
8,8,Wins Arena - Kuningan (Tennis),"Jl. Prof. DR. Satrio, Kuningan",Jakarta,-6.2209,106.8275,Yes,220000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
9,9,Exploria Court (Indoor Tennis),"Jl. Amil, Kalibata, Pancoran",Jakarta,-6.2574,106.8435,Yes,280000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
10,10,Seba Court (Setu Babakan),"Jl. Wakaf No.12, Setu Babakan, Jagakarsa",Jakarta,-6.3387,106.8156,Yes,190000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
11,11,Patraland Tennis Court - Patra Kuningan,"Jl. Patra Kuningan Raya No.5, Setiabudi",Jakarta,-6.2292,106.8331,Yes,120000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
12,12,Adhi Tennis Court (Pejaten Timur),"Jl. KH. Guru Amin Km 18 RT13/RW1, Pejaten Timur",Jakarta,-6.2652,106.8396,Yes,100000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
13,13,Lapangan Tenis Pejambon (Kemlu),"Jl. Taman Pejambon No.6, Jakarta Pusat",Jakarta,-6.1772,106.8291,Yes,150000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
14,14,Lapangan Tenis Kementerian Agama,"Jl. Lapangan Banteng, Jakarta Pusat",Jakarta,-6.1712,106.8342,Yes,120000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
15,15,Urban Racquet Club (PIK),"The Gallery Kavling K-1, Jl. Pantai Indah Utara 2, PIK",Jakarta,-6.1168,106.7458,Yes,300000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
16,16,Ancol Tennis Warehouse (ATW),"Jl. Karang Bolong VI No.105 Blok B-7B Kav.104, Ancol",Jakarta,-6.1233,106.8423,Yes,170000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
17,17,Lapangan Tenis Pluit Barat,"Jl. Taman Pluit Barat I No.7, Pluit",Jakarta,-6.1136,106.7808,No,40000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
18,18,Gading Slam Tennis Court,"Jl. Rawa Sengon Raya No.50, Kelapa Gading Barat",Jakarta,-6.153,106.9022,Yes,165000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
19,19,Ragunan Tennis Club,"Jl. TB Simatupang Kav.1, Cilandak Timur",Jakarta,-6.3041,106.8212,Yes,150000,web_add,10/22/2025,"https://source.unsplash.com/1600x900/?tennis,court"
